weekly_change,rolling_mean_14,rolling_std_7,stock_threshold,stock_estime,Rating,Unit price,future_demand_7,rolling_mean_7,day_of_week,Quantity
,7.0,,,42.0,9.1,74.69,2.0,7.0,5,7
,5.0,,,30.0,9.6,15.28,9.0,5.0,4,5
,7.0,,,42.0,7.4,46.33,2.0,7.0,6,7
,7.5,0.7071067811865476,53.56066017177982,15.0,8.4,58.22,8.0,7.5,6,8
,7.0,,,42.0,5.3,86.31,5.0,7.0,4,7
,6.0,1.4142135623730951,44.121320343559645,12.0,4.1,85.39,4.0,6.0,0,7
,6.0,1.0,43.5,18.0,5.8,68.84,6.0,6.0,0,6
,8.5,2.1213203435596424,62.68198051533946,17.0,8.0,73.56,2.0,8.5,6,10
,5.666666666666667,3.2145502536643185,44.48849204716315,17.0,7.2,36.26,2.0,5.666666666666667,3,2
,3.0,,,18.0,5.9,54.84,7.0,3.0,2,3
,4.0,,,24.0,4.5,14.48,6.0,4.0,2,4
,5.5,1.2909944487358056,40.43649167310371,22.0,6.8,25.51,8.0,5.5,5,4
,5.4,1.140175425099138,39.51026313764872,27.0,7.1,46.95,6.0,5.4,1,5
,6.5,4.949747468305833,52.92462120245875,13.0,8.2,43.19,5.0,6.5,3,10
,6.75,3.4034296427770228,52.355144464165534,27.0,5.7,71.38,9.0,6.75,4,10
,6.5,0.7071067811865476,46.56066017177982,13.0,4.5,93.72,6.0,6.5,1,6
,6.8,2.949576240750525,52.02436436112579,34.0,4.6,68.93,8.0,6.8,0,7
,6.333333333333333,0.5773502691896257,45.19935873711777,19.0,6.9,72.61,3.0,6.333333333333333,1,6
,5.333333333333333,4.041451884327381,43.3955111598244,16.0,8.6,54.67,10.0,5.333333333333333,0,3
,6.333333333333333,4.041451884327381,50.3955111598244,19.0,4.4,40.3,2.0,6.333333333333333,0,2
,5.333333333333333,1.0327955589886446,38.88252667181629,32.0,4.8,86.04,6.0,5.333333333333333,0,5
,6.166666666666667,3.0605010483034745,47.75741823912188,37.0,5.1,87.98,4.0,6.166666666666667,1,3
,5.25,3.947573094109004,42.67135964116351,21.0,4.4,33.2,10.0,5.25,4,2
,5.285714285714286,0.951189731211342,38.426784596817015,37.0,9.9,34.56,10.0,5.285714285714286,6,5
,5.5,1.7320508075688772,41.09807621135332,22.0,6.0,88.63,9.0,5.5,5,3
,5.8,3.6331804249169903,46.04977063737549,29.0,8.5,52.59,6.0,5.8,4,8
,2.5,2.1213203435596424,20.681980515339465,5.0,6.7,33.52,10.0,2.5,4,1
,2.333333333333333,1.5275252316519468,18.624621180811257,7.0,7.7,87.67,9.0,2.333333333333333,6,2
,5.25,3.304037933599835,41.70605690039975,21.0,9.6,88.36,3.0,5.25,4,5
,6.571428571428571,2.9920529661723823,50.48807944925857,46.0,7.4,24.89,10.0,6.571428571428571,4,9
,3.0,1.8257418583505536,23.73861278752583,12.0,4.8,94.13,9.0,3.0,0,5
,6.2,2.16794833886788,46.651922508301816,31.0,4.5,78.07,10.0,6.2,0,9
,6.5,2.073644135332772,48.61046620299916,39.0,5.1,83.78,10.0,6.5,3,8
-0.7142857142857143,6.0,3.4364987719368982,46.15474815790535,48.0,5.1,96.58,2.0,5.857142857142857,4,2
,5.0,2.9154759474226504,39.37321392113397,25.0,7.5,99.42,10.0,5.0,2,4
,5.714285714285714,2.811540841738193,44.21731126260729,40.0,6.8,68.12,5.0,5.714285714285714,0,1
-0.2857142857142857,5.625,2.760262237369417,42.140393356054126,45.0,7.0,62.62,7.0,5.428571428571429,6,5
0.8,5.75,1.6761634196950514,43.51424512954258,46.0,4.7,60.88,1.0,5.857142857142857,1,9
0.0,6.222222222222222,3.4364987719368982,46.15474815790535,56.0,7.6,54.92,1.0,5.857142857142857,5,8
,6.166666666666667,3.3714487489307423,48.22383979006278,37.0,7.7,30.12,9.0,6.166666666666667,6,8
,5.428571428571429,3.644957377763736,43.4674360666456,38.0,7.9,86.72,4.0,5.428571428571429,3,1
-0.7142857142857143,5.0,3.773340063934768,38.66001009590215,40.0,6.3,56.11,6.0,4.714285714285714,5,2
0.0,5.666666666666667,2.760262237369417,42.140393356054126,51.0,5.6,69.12,1.0,5.428571428571429,4,6
,5.5,2.8809720581775866,42.82145808726638,33.0,7.6,98.7,3.0,5.5,0,8
0.0,5.8,3.4364987719368982,46.15474815790535,58.0,7.2,15.37,5.0,5.857142857142857,5,2
-0.4285714285714286,5.555555555555555,1.7182493859684491,40.57737407895267,50.0,9.5,93.96,6.0,5.428571428571429,5,4
-0.0999999999999999,6.090909090909091,3.251373336211726,44.87706000431759,67.0,8.4,56.69,6.0,5.714285714285714,2,9
,6.0,2.943920288775949,46.41588043316392,42.0,4.1,20.01,8.0,6.0,2,9
0.0,5.6,1.7182493859684491,40.57737407895267,56.0,8.1,18.93,9.0,5.428571428571429,6,6
,4.4,3.507135583350036,36.06070337502506,22.0,7.9,82.63,5.0,4.4,1,10
1.3333333333333337,6.125,2.63673679998231,49.95510519997347,49.0,9.5,91.4,4.0,6.571428571428571,6,7
-0.5,6.0,2.193062655175134,44.2895939827627,54.0,8.5,44.59,7.0,5.857142857142857,6,5
,4.333333333333333,3.1411250638372654,35.04502092908923,26.0,6.5,17.87,1.0,4.333333333333333,4,4
,3.857142857142857,3.132015933791495,31.698023900687243,27.0,6.1,15.43,9.0,3.857142857142857,4,1
-0.8,4.666666666666667,3.04724700110022,29.57087050165033,42.0,6.5,16.16,9.0,3.571428571428572,3,2
1.0,5.818181818181818,1.8257418583505536,44.73861278752583,64.0,8.2,85.98,10.0,6.0,3,8
0.0,4.4,3.04724700110022,29.57087050165033,44.0,5.8,44.34,9.0,3.571428571428572,2,2
0.1428571428571428,6.25,3.3380918415851206,46.00713776237768,75.0,6.6,89.6,6.0,5.857142857142857,3,8
4.0,4.909090909090909,3.773340063934768,38.66001009590215,54.0,5.4,72.35,2.0,4.714285714285714,6,10
0.1999999999999999,5.833333333333333,1.772810520855837,45.65921578128376,70.0,9.3,30.61,10.0,6.142857142857143,1,6
-0.5,5.4,2.886751345948129,39.33012701892219,54.0,10.0,24.74,10.0,5.0,4,3
-0.25,5.0,3.5523298860110977,36.32849482901665,60.0,7.0,55.73,8.0,4.428571428571429,6,6
2.0,5.727272727272728,3.0783421635988546,45.617513245398285,63.0,10.0,55.07,7.0,5.857142857142857,6,9
0.1111111111111111,6.083333333333333,3.265986323710904,46.89897948556636,73.0,8.6,15.81,6.0,6.0,2,10
0.3333333333333332,6.076923076923077,3.214550253664318,46.82182538049648,79.0,7.6,75.74,9.0,6.0,3,4
0.1111111111111111,6.357142857142857,3.38765264987284,48.08147897480926,89.0,5.8,15.87,1.0,6.142857142857143,2,10
0.0,6.0,3.38765264987284,48.08147897480926,91.0,6.7,33.47,10.0,6.142857142857143,6,2
0.5,4.125,3.236694374850748,33.85504156227613,33.0,9.9,97.61,6.0,4.142857142857143,0,6
0.25,6.384615384615385,3.545621041711673,49.31843156256751,83.0,6.4,78.77,2.0,6.285714285714286,3,10
-0.875,5.5,3.7606990231680526,41.64104853475208,92.0,4.3,18.33,7.0,5.142857142857143,5,1
2.333333333333333,6.4,2.2677868380553634,51.40168025708304,64.0,9.6,89.48,3.0,6.857142857142857,6,10
9.0,4.777777777777778,3.552329886011097,43.32849482901665,43.0,5.9,62.12,7.0,5.428571428571429,0,10
-0.4,6.090909090909091,2.63673679998231,49.95510519997347,67.0,4.0,48.52,6.0,6.571428571428571,1,3
0.1999999999999999,5.846153846153846,1.7043362064926932,46.55650430973904,76.0,8.7,75.91,8.0,6.285714285714286,5,6
0.125,5.307692307692308,3.7352886036263584,37.60293290543954,69.0,9.4,74.67,7.0,4.571428571428571,1,9
1.0,6.142857142857143,2.0816659994661326,52.1224989991992,86.0,5.4,41.65,6.0,7.0,6,10
3.5,5.2,3.408672412985386,50.11300861947808,52.0,8.6,49.04,3.0,6.428571428571429,2,9
0.8,5.545454545454546,3.4641016151377544,54.19615242270663,61.0,5.7,20.01,5.0,7.0,5,9
1.5,6.416666666666667,2.63673679998231,55.95510519997347,77.0,6.6,78.31,9.0,7.428571428571429,1,10
1.5,5.714285714285714,3.5050983275386565,44.25764749130799,97.0,6.0,20.38,3.0,5.571428571428571,1,5
-0.3333333333333333,5.428571428571429,3.184785258515422,40.777177887773135,103.0,5.5,99.19,6.0,5.142857142857143,0,6
-0.625,6.153846153846154,3.093772546815388,51.64065882022308,80.0,6.4,96.68,10.0,6.714285714285714,5,3
-0.1111111111111111,6.285714285714286,2.9920529661723827,50.48807944925858,88.0,6.6,19.25,8.0,6.571428571428571,2,8
-0.4285714285714286,6.357142857142857,3.132015933791495,47.69802390068724,92.0,8.3,80.36,1.0,6.142857142857143,5,4
4.0,6.285714285714286,2.794552524023087,52.19182878603464,88.0,6.6,48.91,7.0,6.857142857142857,5,5
0.3999999999999999,6.285714285714286,2.672612419124243,54.00891862868637,95.0,4.0,83.06,9.0,7.142857142857143,1,7
-0.5,5.5,3.251373336211726,48.87706000431759,66.0,9.9,76.52,1.0,6.285714285714286,0,5
0.3999999999999999,6.142857142857143,3.101458950082625,49.65218842512394,99.0,7.3,49.38,6.0,6.428571428571429,2,7
-0.8333333333333334,5.928571428571429,3.552329886011097,50.32849482901665,96.0,5.7,42.47,5.0,6.428571428571429,2,1
-0.25,5.357142857142857,2.968084198523319,38.45212629778498,109.0,6.1,76.99,10.0,4.857142857142857,2,6
3.0,5.214285714285714,3.415650255319866,40.1234753829798,73.0,7.1,47.38,6.0,5.0,2,4
2.333333333333333,6.214285714285714,3.408672412985386,57.11300861947808,106.0,8.2,44.86,9.0,7.428571428571429,5,10
-0.2222222222222222,6.5,3.33809184158512,55.00713776237768,113.0,5.1,21.98,6.0,7.142857142857143,3,7
1.25,5.785714285714286,3.3094381626464866,43.96415724396973,118.0,8.6,64.36,10.0,5.571428571428571,1,9
-0.9,5.214285714285714,3.0394235042348474,34.55913525635227,119.0,6.6,89.75,6.0,4.285714285714286,2,1
-0.8888888888888888,5.857142857142857,2.853569193634026,45.28035379045104,87.0,7.2,97.16,5.0,5.857142857142857,4,1
4.0,5.785714285714286,3.505098327538656,43.25764749130799,129.0,5.1,87.87,4.0,5.428571428571429,4,10
0.5,5.785714285714286,2.734262327610589,47.10139349141589,93.0,4.1,12.45,1.0,6.142857142857143,5,6
-0.7,6.142857142857143,2.878491668515698,42.31773750277355,102.0,9.3,52.75,5.0,5.428571428571429,5,3
2.0,5.142857142857143,3.154739442867026,43.73210916430054,79.0,7.4,82.7,6.0,5.571428571428571,1,6
-0.75,5.153846153846154,3.760699023168052,46.64104853475208,67.0,4.1,48.71,8.0,5.857142857142857,1,1
8.0,5.428571428571429,3.214550253664318,53.82182538049648,76.0,7.2,78.55,9.0,7.0,4,9
0.5,6.0,2.9358214555806383,50.40373218337096,102.0,4.9,23.07,8.0,6.571428571428571,4,9
1.0,6.214285714285714,2.672612419124244,45.00891862868637,108.0,9.9,58.26,8.0,5.857142857142857,3,6
6.0,5.714285714285714,2.9277002188455987,48.3915503282684,136.0,8.0,30.35,8.0,6.285714285714286,1,7
0.25,6.428571428571429,3.1847852585154217,52.777177887773135,112.0,7.3,88.67,6.0,6.857142857142857,5,10
0.0,5.571428571428571,3.214550253664318,53.82182538049648,82.0,7.9,27.38,7.0,7.0,5,6
-0.4,6.285714285714286,3.101458950082624,50.65218842512394,119.0,7.4,62.13,4.0,6.571428571428571,4,6
-0.0999999999999999,6.571428571428571,2.4299715851758243,43.64495737776374,117.0,4.2,33.98,7.0,5.714285714285714,6,9
0.6666666666666667,6.785714285714286,3.3594217189442417,57.03913257841637,122.0,9.2,81.97,5.0,7.428571428571429,6,10
-0.8,5.857142857142857,3.1014589500826246,42.65218842512394,121.0,4.6,16.49,10.0,5.428571428571429,1,2
-0.4,5.785714285714286,3.162277660168379,46.74341649025257,139.0,7.8,98.21,9.0,6.0,1,3
-0.3,6.0,2.935821455580638,50.40373218337096,89.0,8.4,72.84,3.0,6.571428571428571,4,7
3.5,5.071428571428571,2.9358214555806392,50.40373218337096,88.0,4.3,58.07,8.0,6.571428571428571,5,9
3.5,5.571428571428571,2.2253945610567487,56.338091841585126,97.0,9.5,80.79,5.0,7.571428571428571,4,9
-0.6666666666666667,6.071428571428571,2.9840847683606277,44.47612715254094,92.0,7.1,27.02,10.0,5.714285714285714,5,3
-0.4444444444444444,6.071428571428571,2.6095064302514763,39.914259645377214,97.0,5.3,21.94,4.0,5.142857142857143,1,5
-0.8,5.428571428571429,3.0472470011002186,36.570870501650326,98.0,5.2,51.36,9.0,4.571428571428571,2,1
2.333333333333333,6.714285714285714,2.563479777846624,50.845219666769935,127.0,6.0,10.96,10.0,6.714285714285714,5,10
-0.8,5.571428571428571,2.760262237369417,49.140393356054126,99.0,4.1,53.44,10.0,6.428571428571429,6,2
0.3333333333333332,7.0,3.3022358947782484,58.953353842167374,130.0,5.2,99.56,4.0,7.714285714285714,3,8
0.3999999999999999,6.285714285714286,3.147183169877772,44.72077475481666,128.0,6.5,57.12,8.0,5.714285714285714,5,7
0.2857142857142858,6.571428571428571,3.366501646120692,47.04975246918104,137.0,4.2,99.96,10.0,6.0,5,9
0.3333333333333332,5.571428571428571,2.8115408417381933,51.21731126260729,107.0,4.6,63.91,9.0,6.714285714285714,2,8
7.0,5.714285714285714,2.8199966227605566,43.229994934140834,106.0,7.3,56.47,10.0,5.571428571428571,5,8
-0.2222222222222222,5.5,2.63673679998231,48.95510519997347,114.0,4.5,93.69,8.0,6.428571428571429,6,7
4.0,6.5,2.636736799982309,49.95510519997346,142.0,9.0,32.25,7.0,6.571428571428571,6,5
0.0,6.285714285714286,2.8199966227605566,43.229994934140834,115.0,5.9,31.73,7.0,5.571428571428571,1,9
0.0,6.642857142857143,2.563479777846624,50.845219666769935,135.0,8.5,68.54,6.0,6.714285714285714,1,8
-0.0999999999999999,6.928571428571429,2.439750182371332,48.659625273557,151.0,7.2,90.28,8.0,6.428571428571429,4,9
0.1666666666666667,6.357142857142857,2.8702082220799303,44.30531233311989,122.0,7.5,39.62,7.0,5.714285714285714,4,7
-0.1428571428571429,6.714285714285714,2.4299715851758226,47.64495737776373,157.0,8.3,92.13,6.0,6.285714285714286,2,6
