Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Rating,day_of_week,month,rolling_mean_7,rolling_mean_14,rolling_std_7,weekly_change,future_demand_7,stock_estime,reapprovisionnement,stock_threshold
A,Yangon,Member,Female,Health and beauty,74.69,7,9.1,5,1,7.0,7.0,,,2.0,42.0,35.0,
C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,9.6,4,3,5.0,5.0,,,9.0,30.0,25.0,
A,Yangon,Normal,Male,Home and lifestyle,46.33,7,7.4,6,3,7.0,7.0,,,2.0,42.0,35.0,
A,Yangon,Member,Male,Health and beauty,58.22,8,8.4,6,1,7.5,7.5,0.7071067811865476,,8.0,15.0,0.0,53.56066017177982
A,Yangon,Normal,Male,Sports and travel,86.31,7,5.3,4,2,7.0,7.0,,,5.0,42.0,35.0,
C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,4.1,0,3,6.0,6.0,1.4142135623730951,,4.0,12.0,0.0,44.121320343559645
A,Yangon,Member,Female,Electronic accessories,68.84,6,5.8,0,2,6.0,6.0,1.0,,6.0,18.0,0.0,43.5
C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,8.0,6,2,8.5,8.5,2.1213203435596424,,2.0,17.0,0.0,62.68198051533946
A,Yangon,Member,Female,Health and beauty,36.26,2,7.2,3,1,5.666666666666667,5.666666666666667,3.2145502536643185,,2.0,17.0,0.0,44.48849204716315
B,Mandalay,Member,Female,Food and beverages,54.84,3,5.9,2,2,3.0,3.0,,,7.0,18.0,15.0,
B,Mandalay,Member,Female,Fashion accessories,14.48,4,4.5,2,2,4.0,4.0,,,6.0,24.0,20.0,
B,Mandalay,Member,Male,Electronic accessories,25.51,4,6.8,5,3,5.5,5.5,1.2909944487358056,,8.0,22.0,0.0,40.43649167310371
A,Yangon,Normal,Female,Electronic accessories,46.95,5,7.1,1,2,5.4,5.4,1.140175425099138,,6.0,27.0,0.0,39.510263137648714
