Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,year,month,day,weekday,is_weekend,is_holiday,Total_Sales,Rolling_Mean_7
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,13:08,Ewallet,522.83,4.761904762,26.1415,9.1,2019,1,5,5,1,0,522.8299999999999,522.8299999999999
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29,Cash,76.4,4.761904762,3.82,9.6,2019,3,8,4,0,0,76.39999999999999,76.39999999999999
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23,Credit card,324.31,4.761904762,16.2155,7.4,2019,3,3,6,1,0,324.31,324.31
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,20:33,Ewallet,465.76,4.761904762,23.288,8.4,2019,1,27,6,1,0,465.76,494.29499999999996
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37,Ewallet,604.17,4.761904762,30.2085,5.3,2019,2,8,4,0,0,604.1700000000001,604.1700000000001
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30,Ewallet,597.73,4.761904762,29.8865,4.1,2019,3,25,0,0,0,597.73,337.065
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36,Ewallet,413.04,4.761904762,20.652,5.8,2019,2,25,0,0,0,413.04,362.39000000000004
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38,Ewallet,735.6,4.761904762,36.78,8.0,2019,2,24,6,1,0,735.6,529.955
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:15,Credit card,72.52,4.761904762,3.626,7.2,2019,1,10,3,0,0,72.52,353.7033333333333
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27,Credit card,164.52,4.761904762,8.226,5.9,2019,2,20,2,0,0,164.52,164.52
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:07,Ewallet,57.92,4.761904762,2.896,4.5,2019,2,6,2,0,0,57.92,57.92
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03,Cash,102.04,4.761904762,5.102,6.8,2019,3,9,5,1,0,102.04,297.3025
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25,Ewallet,234.75,4.761904762,11.7375,7.1,2019,2,12,1,0,0,234.75,284.79200000000003
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48,Ewallet,431.9,4.761904762,21.595,8.2,2019,2,7,3,0,0,431.9,298.21
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21,Cash,713.8,4.761904762,35.69,5.7,2019,3,29,4,0,0,713.8,443.72749999999996
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19,Cash,562.32,4.761904762,28.116,4.5,2019,1,15,1,0,0,562.3199999999999,583.245
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03,Credit card,482.51,4.761904762,24.1255,4.6,2019,3,11,0,0,0,482.51000000000005,451.48400000000004
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39,Credit card,435.66,4.761904762,21.783,6.9,2019,1,1,1,0,1,435.65999999999997,534.0500000000001
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,Credit card,164.01,4.761904762,8.2005,8.6,2019,1,21,0,0,0,164.01,253.47666666666666
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30,Ewallet,80.6,4.761904762,4.03,4.4,2019,3,11,0,0,0,80.6,380.17
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24,Ewallet,430.2,4.761904762,21.51,4.8,2019,2,25,0,0,0,430.20000000000005,309.0266666666667
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40,Ewallet,263.94,4.761904762,13.197,5.1,2019,3,5,1,0,0,263.94,420.22666666666663
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20,Credit card,66.4,4.761904762,3.32,4.4,2019,3,15,4,0,0,66.4,301.72749999999996
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,Ewallet,172.8,4.761904762,8.64,9.9,2019,2,17,6,1,0,172.8,289.5657142857143
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36,Ewallet,265.89,4.761904762,13.2945,6.0,2019,3,2,5,1,0,265.89,467.01
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20,Credit card,420.72,4.761904762,21.036,8.5,2019,3,22,4,0,0,420.72,325.526
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31,Cash,33.52,4.761904762,1.676,6.7,2019,2,8,4,0,0,33.52,45.72
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17,Credit card,175.34,4.761904762,8.767,7.7,2019,3,10,6,1,0,175.34,88.92666666666666
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48,Cash,441.8,4.761904762,22.09,9.6,2019,1,25,4,0,0,441.8,300.5575
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36,Cash,224.01,4.761904762,11.2005,7.4,2019,3,15,4,0,0,224.01,392.19571428571425
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39,Credit card,470.65,4.761904762,23.5325,4.8,2019,2,25,0,0,0,470.65,184.3575
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43,Cash,702.63,4.761904762,35.1315,4.5,2019,1,28,0,0,0,702.6299999999999,514.134
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49,Cash,670.24,4.761904762,33.512,5.1,2019,1,10,3,0,0,670.24,540.1516666666666
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12,Credit card,193.16,4.761904762,9.658,5.1,2019,3,15,4,0,0,193.16,345.09999999999997
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42,Ewallet,397.68,4.761904762,19.884,7.5,2019,2,6,2,0,0,397.68,319.98199999999997
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:28,Ewallet,68.12,4.761904762,3.406,6.8,2019,1,7,0,0,0,68.12,472.7185714285714
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:15,Ewallet,313.1,4.761904762,15.655,7.0,2019,3,10,6,1,0,313.09999999999997,431.1371428571428
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,17:17,Ewallet,547.92,4.761904762,27.396,4.7,2019,1,15,1,0,0,547.9200000000001,356.92571428571426
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,13:24,Ewallet,439.36,4.761904762,21.968,7.6,2019,3,23,5,1,0,439.36,341.3285714285715
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,13:01,Cash,240.96,4.761904762,12.048,7.7,2019,3,3,6,1,0,240.96,311.4316666666667
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45,Ewallet,86.72,4.761904762,4.336,7.9,2019,1,17,3,0,0,86.72,279.33
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11,Cash,112.22,4.761904762,5.611,6.3,2019,2,2,5,1,0,112.22,249.03142857142856
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,13:03,Cash,414.72,4.761904762,20.736,5.6,2019,2,8,4,0,0,414.72,410.0514285714285
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39,Cash,789.6,4.761904762,39.48,7.6,2019,3,4,0,0,0,789.6,398.2516666666667
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47,Cash,30.74,4.761904762,1.537,7.2,2019,3,16,5,1,0,30.74,335.36
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,18:00,Cash,375.84,4.761904762,18.792,9.5,2019,3,9,5,1,0,375.84,325.2271428571429
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,17:24,Credit card,510.21,4.761904762,25.5105,8.4,2019,2,27,2,0,0,510.21,306.2757142857143
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,15:47,Ewallet,180.09,4.761904762,9.0045,4.1,2019,2,6,2,0,0,180.09,367.0857142857143
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,12:45,Credit card,113.58,4.761904762,5.679,8.1,2019,2,10,6,1,0,113.58,282.44714285714286
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:08,Ewallet,826.3,4.761904762,41.315,7.9,2019,3,19,1,0,0,826.3,312.746
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19,Cash,639.8,4.761904762,31.99,9.5,2019,2,3,6,1,0,639.8000000000001,434.98285714285714
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,15:10,Cash,222.95,4.761904762,11.1475,8.5,2019,2,10,6,1,0,222.95000000000002,405.1328571428571
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,14:42,Ewallet,71.48,4.761904762,3.574,6.5,2019,3,22,4,0,0,71.48,272.53499999999997
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,15:46,Credit card,15.43,4.761904762,0.7715,6.1,2019,1,25,4,0,0,15.43,235.80571428571426
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,11:49,Ewallet,32.32,4.761904762,1.616,6.5,2019,3,7,3,0,0,32.32,148.56285714285713
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,19:01,Cash,687.84,4.761904762,34.392,8.2,2019,2,28,3,0,0,687.84,366.1328571428572
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26,Cash,88.68,4.761904762,4.434,5.8,2019,3,27,2,0,0,88.68,149.71714285714285
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28,Ewallet,716.8,4.761904762,35.84,6.6,2019,2,7,3,0,0,716.8,339.7457142857143
